word,clean_word,sentiment
#حر,حر,pos
#كتاب,كتاب,pos
اعجب,اعجب,pos
فرج,فرج,pos
بارق,بارق,pos
حمد,حمد,pos
ياطيب,ياطيب,pos
#نجم,نجم,pos
يقين,يقين,pos
إستطاع,استطاع,pos
احس,احس,pos
انوثة,انوثه,pos
فكر,فكر,pos
سامي,سامي,pos
اثبات,اثبات,pos
دار,دار,pos
متقلقش,متقلقش,pos
اهل,اهل,pos
البرستيج,البرستيج,pos
يخليكي,يخليكي,pos
اراد,اراد,pos
#تمني,تمني,pos
فاهم,فاهم,pos
متحرر,متحر,pos
استجاب,استجاب,pos
حياة,حياه,pos
توفيقكك,توفيقك,pos
#فن,فن,pos
تصويري,تصويري,pos
كلمة,كلمه,pos
مهم,مهم,pos
تم,,pos
مشتهي,مشتهي,pos
إشتهي,اشتهي,pos
#ريادي,ريادي,pos
صباح,,pos
حر,حر,pos
حنيت,حنيت,pos
#درة,دره,pos
مطر,مطر,pos
#مولد,مولد,pos
هزار,هزار,pos
إشتاق,اشتاق,pos
#بداية,بدايه,pos
ياعمري,ياعمري,pos
#دنيا,دنيا,pos
فهم,فهم,pos
فل,فل,pos
محاضرة,محاضره,pos
ما تيجي,تيجي,pos
اجر,اجر,pos
قادر,قادر,pos
#صوتي,صوتي,pos
عين,,pos
هههه,,pos
#شراء,شراء,pos
عام,,pos
#كول,كول,pos
إعتز,اعتز,pos
#جمعة,,pos
#تذكير,تذكير,pos
عارف,عارف,pos
حي,حي,pos
اشتقتله,اشتقتله,pos
إشتق,اشتق,pos
اتفضلي,اتفضلي,pos
رئيس,رءيس,pos
#صبح,صبح,pos
طب,طب,pos
خلق,خلق,pos
امكن,امكن,pos
تلاقي,تلاقي,pos
ذوق,ذوق,pos
مباراة,مباراه,pos
ام,ام,pos
دنيا,دنيا,pos
الحظات,الحظات,pos
مجتمع,مجتمع,pos
شاب,شاب,pos
اول,,pos
#فيديوكليب,فيديوكليب,pos
#ذكر,ذكر,pos
منزل,منزل,pos
تحرر,تحر,pos
اماه,اماه,pos
يخليلي,يخليلي,pos
#يوم_الجمعة,الجمعه,pos
#ابهي,ابهي,pos
ادارة,اداره,pos
صحب,صحب,pos
امة,امه,pos
#نصيح,نصيح,pos
تمام,تمام,pos
اشفي,اشفي,pos
عافي,عافي,pos
توصل,توصل,pos
متوفر,متوفر,pos
رحم,رحم,pos
روح,روح,pos
زوق,زوق,pos
هاهاهاها,هاهاهاها,pos
توكل,توكل,pos
خال,,pos
رجل,رجل,pos
هتعجبك,هتعجبك,pos
#الميديا_توداي,الميديا توداي,pos
#شهيد,شهيد,pos
بنااادي,بنادي,pos
ممكن,مكن,pos
ياحظها,ياحظها,pos
اخ,اخ,pos
#رائج,راءج,pos
امن,امن,pos
عش,عش,pos
ادرك,ادرك,pos
#اداء,اداء,pos
#اعلان,اعلان,pos
#تفسير,تفسير,pos
#وادي,وادي,pos
زراعي,زراعي,pos
هيتحقق,هيتحق,pos
#واجب,واجب,pos
نكتة,نكته,pos
اكيد,اكيد,pos
طفل,طفل,pos
عرف,عرف,pos
اخت,اخت,pos
تاكيد,تاكيد,pos
منشد,منشد,pos
#اشتهيها_معك,اشتهيها معك,pos
إستضافة,استضافه,pos
سيد,سيد,pos
شعااار,شعار,pos
ما زعل,زعل,pos
#قصة,قصه,pos
#عطني,عطني,pos
اصدار,اصدار,pos
وجب,وجب,pos
راجل,راجل,pos
#كل_مايحتاجه_بيتك,مايحتاجه بيتك,pos
احبج,احبج,pos
شنطة,شنطه,pos
حكاية,حكايه,pos
ميزان,ميزان,pos
تغير,تغير,pos
ذاكر,ذاكر,pos
#لو_معايا_طاقية_الاخفا,معايا طاقيه الاخفا,pos
لاح,لاح,pos
سوي,سوي,pos
مباشر,مباشر,pos
عمر,عمر,pos
مرئي,مرءي,pos
نوم,نوم,pos
صح,صح,pos
حاج,حاج,pos
لا يئس,يءس,pos
هعملك,هعملك,pos
فسيح,فسيح,pos
#فلسفة,فلسفه,pos
موبايل,موبايل,pos
اساس,اساس,pos
صاح,صاح,pos
متجر,متجر,pos
ستر,ستر,pos
#روع,روع,pos
احبش,احبش,pos
متقلقيش,متقلقيش,pos
درس,درس,pos
غزير,غزير,pos
شافي,شافي,pos
اخبر,اخبر,pos
جذري,جذري,pos
كسوة,كسوه,pos
شعب,شعب,pos
قصدي,قصدي,pos
شهيد,شهيد,pos
رجع,,pos
عاوز,عاوز,pos
جيش,جيش,pos
صورة,صوره,pos
خقيت,خقيت,pos
وكل,وكل,pos
ايعجبكم,ايعجبكم,pos
عافية,عافيه,pos
جعل,,pos
إشتهاء,اشتهاء,pos
لاعب,لاعب,pos
قدم,قدم,pos
خلاص,خلاص,pos
وجد,,pos
ما شاء,شاء,pos
اهم,اهم,pos
ادري,ادري,pos
#حامل,حامل,pos
تقلقش,تقلقش,pos
طقم,طقم,pos
#افكار_لازم_تتغير,افكار لازم تغير,pos
ناس,ناس,pos
بيرثداي,بيرثداي,pos
#مدينة,مدينه,pos
فيديو,فيديو,pos
ليلة,ليله,pos
عامل,عامل,pos
مزاد,مزاد,pos
#اعجب,اعجب,pos
انت,,pos
سياح,سياح,pos
حاجة,حاجه,pos
اعلن,اعلن,pos
تهيا,تهيا,pos
#حكومة,حكومه,pos
مرتفع,مرتفع,pos
شكل,شكل,pos
راي,راي,pos
ذكر,ذكر,pos
نيس,نيس,pos
صوت,صوت,pos
ما نقص,نقص,pos
لازم,لازم,pos
للبويز,لبويز,pos
للولاد,لولاد,pos
بنت,بنت,pos
اصل,اصل,pos
مؤاخذ,مءاخذ,pos
غراد,غراد,pos
عم,عم,pos
شاء,شاء,pos
ماتقلقيش,ماتقلقيش,pos
ارضي,ارضي,pos
ذهب,,pos
خالي,خالي,pos
نادي,نادي,pos
#وانا_صغير_كنت_فاكر,وانا صغير كنت فاكر,pos
اكثرو,اكثرو,pos
قرارة,قراره,pos
دوي,دوي,pos
#حداثة,حداثه,pos
ديرتيه,ديرتيه,pos
لا مؤاخذ,مءاخذ,pos
حاضر,حاضر,pos
تفسير,تفسير,pos
تصوير,تصوير,pos
انشرو,انشرو,pos
ما انحرم,انحرم,pos
كلام,كلام,pos
عادي,عادي,pos
ابن,ابن,pos
#اسف,اسف,pos
موضوع,موضوع,pos
عاد,,pos
نشر,نشر,pos
#نشر,نشر,pos
يافندم,يافندم,pos
ما قسم,قسم,pos
#مؤكد,مءكد,pos
مش حكاية,مش حكايه,pos
إختباري,اختباري,pos
#الله_يرحمك,اله يرحمك,pos
عمل,عمل,pos
ما إنتظر,انتظر,pos
شهر,شهر,pos
#مغرد_وكم_تعطيه_عمر,مغرد وكم تعطيه عمر,pos
ينوصف,ينوصف,pos
اداء,اداء,pos
يقلبيه,يقلبيه,pos
مش للدرجادي,مش لدرجادي,pos
قدر,قدر,pos
يسطا,يسطا,pos
إنتظر,انتظر,pos
كبير,كبير,pos
لا خذلان,خذلان,pos
هالحظ,هالحظ,pos
#مشتهي,مشتهي,pos
ينرحم,ينرحم,pos
هالشعور,هالشعور,pos
اتدري,اتدري,pos
إسم,اسم,pos
لا راي,راي,pos
لا عادي,عادي,pos
بن,,pos
ياحظ,ياحظ,pos
طافة,طافه,pos
طلبية,طلبيه,pos
شخص,شخص,pos
إمتلا,امتلا,pos
رتويت,رتويت,pos
#خبر,خبر,pos
مش بعيد,مش بعيد,pos
نام,نام,pos
#مبتدا,مبتدا,pos
#مسابقة,مسابقه,pos
بلد,بلد,pos
#شنطة,شنطه,pos
برج,برج,pos
#سكان_المجرة,سكان المجره,pos
كل,,pos
اطاق,اطاق,pos
#ساد,ساد,pos
شفيني,شفيني,pos
#مباشر,مباشر,pos
لا اصابة,اصابه,pos
نصح,نصح,pos
ما هتنساه,هتنساه,pos
حسب,,pos
#المجرة,المجره,pos
#تب,تب,pos
ابغا,ابغا,pos
مش كل,مش,pos
مش جديد,مش جديد,pos
قسم,قسم,pos
سنة,,pos
خبر,خبر,pos
طبع,طبع,pos
#عجب,عجب,pos
سمع,سمع,pos
فجر,فجر,pos
عزب,عزب,pos
يجيني,يجيني,pos
للبنااات,لبنات,pos
اكل,اكل,pos
دماغ,دماغ,pos
متخافيش,متخافيش,pos
ما ينوصف,ينوصف,pos
لا شكل,شكل,pos
مبتدا,مبتدا,pos
مساك,مساك,pos
اششتقت,اشتقت,pos
اسدود,اسدود,pos
تعالي,تعالي,pos
اخر,اخر,pos
اب,اب,pos
تخيلو,تخيلو,pos
#حدث,حدث,pos
توصيل,توصيل,pos
#لقن,لقن,pos
#اتان,اتان,pos
#اكفش,اكفش,pos
مقال,مقال,pos
اذن,اذن,pos
اسكن,اسكن,pos
موترك,موترك,pos
#ناس,ناس,pos
بيجبيلوا,بيجبيلوا,pos
عموم,عموم,pos
#تقني,تقني,pos
برايم,برايم,pos
لا تردد,ترد,pos
بوح,بوح,pos
مدينة,مدينه,pos
جيبولي,جيبولي,pos
انام,انام,pos
اخبار,اخبار,pos
طوويل,طويل,pos
لا تمام,تمام,pos
تزويد,تزويد,pos
#خالي,خالي,pos
لا وكل,وكل,pos
تكفوووون,تكفون,pos
ما حدث,حدث,pos
ابتسي,ابتسي,pos
#عادي,عادي,pos
#صورة,صوره,pos
سابق,سابق,pos
لا حاجة,حاجه,pos
دولة,دوله,pos
حلقي,حلقي,pos
قسسم,قسم,pos
بلدة,بلده,pos
ميتقالش,ميتقالش,pos
المجرة,المجره,pos
ابو,ابو,pos
حساب,حساب,pos
خد,خد,pos
#قديم,قديم,pos
سرية,سريه,pos
لا لا اطلع,اطلع,pos
طائرة,طاءره,pos
#اللي_حاسين_بالبرد_بيعملو_فولو_لبعض,حاسين بالبرد بيعملو فولو لبعض,pos
قطار,قطار,pos
حضرة,حضره,pos
شريك,شريك,pos
لا إستعجل,استعجل,pos
#رجال_الامن,رجال الامن,pos
لا تعب,تعب,pos
خاتمة,خاتمه,pos
عاجل,عاجل,pos
اسبوع,اسبوع,pos
ياعم,ياعم,pos
بتحرجني,بتحرجني,pos
مثل,,pos
صار,,pos
#خبر_عاجل,خبر عاجل,pos
مش شرط,مش شرط,pos
تكلم,تكلم,pos
إستودع,استودع,pos
مطلوب,مطلوب,pos
افهي,افهي,pos
#بوية,بويه,pos
هات,هات,pos
لم وجد,,pos
هالفتره,هالفتره,pos
خلص,خلص,pos
اعرفو,اعرفو,pos
إستانس,استانس,pos
شايله,شايله,pos
لا صاح,صاح,pos
دري,دري,pos
حداثة,حداثه,pos
قل,قل,pos
#خبر_سريع,خبر سريع,pos
حد,حد,pos
نصيح,نصيح,pos
هتلاقي,هتلاقي,pos
هحاول,هحاول,pos
#بوح,بوح,pos
عمة,عمه,pos
وقت,وقت,pos
لا اراد,اراد,pos
تيجي,تيجي,pos
قبص,قبص,pos
ما اخاف,اخاف,pos
ما تقلقش,تقلقش,pos
#مقال,مقال,pos
وجود,وجود,pos
زبايين,زباين,pos
لا ضر,ضر,pos
إعتقد,اعتقد,pos
فلسفة,فلسفه,pos
#جرب,جرب,pos
هيبقا,هيبقا,pos
إمتحان,امتحان,pos
ياباشا,ياباشا,pos
ما تمني,تمني,netural
مش عاوز,مش عاوز,netural
ما دري,دري,netural
وكيل,وكيل,netural
عند,,netural
لا سابق,سابق,netural
احصي,احصي,netural
منزمان,منزمان,netural
ليل,ليل,netural
دخل,دخل,netural
مكافحة,مكافحه,netural
اسف,اسف,netural
روع,روع,netural
تقولو,تقولو,neg
إختبار,اختبار,neg
لا خطر,خطر,neg
إحتاج,احتاج,neg
ما جادل,جادل,neg
ما دار,دار,neg
ما سمع,سمع,neg
ما عسكر,عسكر,neg
حصل,حصل,neg
لا فكر,فكر,neg
لقن,لقن,neg
كفي,كفي,neg
خاطر,خاطر,neg
#عاجل,عاجل,neg
لا ترك,,neg
ما إستانس,استانس,neg
لا احسن,احسن,neg
ما اعلن,اعلن,neg
صحباتي,صحباتي,neg
كفاية,كفايه,neg
زي,زي,neg
زورق,زورق,neg
قال,,neg
ما افقد,افقد,neg
شسويت,شسويت,neg
لا استمر,استمر,neg
ما ادري,ادري,neg
قصد,قصد,neg
جرب,جرب,neg
ما حصل,حصل,neg
اتي,اتي,neg
لاإحتاج,لااحتاج,neg
لا تغير,تغير,neg
مخابرة,مخابره,neg
ما بك,,neg
إحتسب,احتسب,neg
شاف,شاف,neg
بقي,بقي,neg
لا خيب,خيب,neg
مجرد,مجرد,neg
لا علم,,neg
شسوي,شسوي,neg
الهاشتاج,الهاشتاج,neg
ما ساب,ساب,neg
ما نتش,نتش,neg
شقول,شقول,neg
صفارة,صفاره,neg
استهدف,استهدف,neg
لا مفقود,مفقود,neg
هطول,هطول,neg
اسطي,اسطي,neg
لا فاقد,فاقد,neg
ياد,ياد,neg
لا غفر,غفر,neg
إستعجل,استعجل,neg
لا نيس,نيس,neg
#قهوة,قهوه,neg
لم إرتكب,ارتكب,neg
لا قلق,قلق,neg
لا عرف,عرف,neg
ياض,ياض,neg
اه,اه,neg
بكثرهه,بكثره,neg
نبا,نبا,neg
لا ياسطي,ياسطي,neg
#هياط,هياط,neg
ياسطي,ياسطي,neg
امر,امر,neg
ما صار,,neg
#صغير,صغير,neg
مدري,مدري,neg
صافرات,صافرات,neg
عسكر,عسكر,neg
#حساب,حساب,neg
لا ودع,ودع,neg
ما ولي,ولي,neg
ما عرف,عرف,neg
ما خاب,خاب,neg
اشاط,اشاط,neg
لا اصلة,اصله,neg
لا إستطاع,استطاع,neg
لا شاب,شاب,neg
ولي,ولي,neg
لا إستهان,استهان,neg
لن وجد,,neg
ساعة,ساعه,neg
ما قدم,قدم,neg
لا عمل,عمل,neg
#نومة,نومه,neg
كتيبة,كتيبه,neg
لا همك,همك,neg
غبن,غبن,neg
لا إستغرب,استغرب,neg
لا قل,قل,neg
اهئ,اهء,neg
ما انتظر,انتظر,neg
ما اعجب,اعجب,neg
مش هيبقا,مش هيبقا,neg
ست,,neg
اطلع,اطلع,neg
لا قاتل,قاتل,neg
ما دمع,دمع,neg
لا اهلك,اهلك,neg
ساد,ساد,neg
#تابعني_اتابعك,تابعني اتابعك,neg
مادة,ماده,neg
بتاع,بتاع,neg
#مبيع,مبيع,neg
قطاع,قطاع,neg
هتنساه,هتنساه,neg
#غازي,غازي,neg
ياشين,ياشين,neg
لا قادر,قادر,neg
ما وجب,وجب,neg
مش ناسي,مش ناسي,neg
#بلدي_مفيهاش,بلدي مفيهاش,neg
مش هتقف,مش هتقف,neg
لا مات,مات,neg
ههف,هف,neg
ما طفش,طفش,neg
شرط,شرط,neg
إنتهي,انتهي,neg
ما ابكي,ابكي,neg
لا هجر,هجر,neg
لا قال,,neg
حول,,neg
لا فني,فني,neg
ما مامتك,مامتك,neg
لا سال,سال,neg
برس,,neg
لا نسي,نسي,neg
#للنساء_فقط,لنساء,neg
انذار,انذار,neg
#انهي,انهي,neg
لم تمزق,تمزق,neg
فاااطس,فاطس,neg
لا شريك,شريك,neg
إرتكب,ارتكب,neg
سمجمج,سمجمج,neg
سري,سري,neg
اح,اح,neg
#مقابة,مقابه,neg
لا فاكس,فاكس,neg
سطا,سطا,neg
شال,شال,neg
شيلة,شيله,neg
لا ضاع,ضاع,neg
قيرل,قيرل,neg
ما إشتاق,اشتاق,neg
لا احصي,احصي,neg
لا تقولو,تقولو,neg
لا ابكي,ابكي,neg
حدث,حدث,neg
راح,,neg
لا اتي,اتي,neg
لم اخبر,اخبر,neg
معلش,معلش,neg
لا نام,نام,neg
لن هنا,,neg
بلاش,بلاش,neg
لا تعالي,تعالي,neg
لا بقي,بقي,neg
لا حول,,neg
#اعمي,اعمي,neg
نقب,نقب,neg
#دبر,دبر,neg
ما غشي,غشي,neg
ارض,ارض,neg
خاط,خاط,neg
لا اخذ,اخذ,neg
لن اطاق,اطاق,neg
همك,همك,neg
ما راح,,neg
لا حزن,حزن,neg
مش اهم,مش اهم,neg
ما رحم,رحم,neg
#ضد_الانقلابا,الانقلابا,neg
لم إستتم,استم,neg
بري,بري,neg
لا صحب,صحب,neg
ما ذهب,,neg
ياخخ,ياخ,neg
ما اراد,اراد,neg
عاذ,عاذ,neg
ما قال,,neg
#صاح,صاح,neg
فاكس,فاكس,neg
اخذ,اخذ,neg
سالف,سالف,neg
ما ذاكر,ذاكر,neg
ما ولد,ولد,neg
انحرم,انحرم,neg
ما بكي,بكي,neg
خرطي,خرطي,neg
لن تم,,neg
لا إنقطع,انقطع,neg
ما رجع,,neg
لا إنتظر,انتظر,neg
للدرجادي,لدرجادي,neg
لا انام,انام,neg
ترك,,neg
صاروخ,صاروخ,neg
باح,باح,neg
ما رفع,رفع,neg
ما انبغي,انبغي,neg
الغبنه,الغبنه,neg
إستغرب,استغرب,neg
لا قتل,قتل,neg
غشي,غشي,neg
لا افسد,افسد,neg
لا خير,خير,neg
لا إحتسب,احتسب,neg
إنقطع,انقطع,neg
ما بلاش,بلاش,neg
مش كد,مش كد,neg
فتش,فتش,neg
هتقف,هتقف,neg
لا فقد,,neg
مش مهم,مش مهم,neg
ما صبر,,neg
ما تحمس,تحمس,neg
كد,كد,neg
تانيب,تانيب,neg
لا إشتاق,اشتاق,neg
لم باح,باح,neg
سادي,سادي,neg
رعدي,رعدي,neg
ليس مجرد,مجرد,neg
مش هزار,مش هزار,neg
هياط,هياط,neg
#الراتب_مايكفي_الحاجة,الراتب مايكفي الحاجه,neg
#سري,سري,neg
هفف,هف,neg
ما شاف,شاف,neg
ما احب,احب,neg
ما هتلاقي,هتلاقي,neg
لا غادر,,neg
طفش,طفش,neg
ما فهم,فهم,neg
جادل,جادل,neg
#اجوف,اجوف,neg
#اصغر,اصغر,neg
ما اسعدتيني,اسعدتيني,neg
زكم,زكم,neg
مش كفاية,مش كفايه,neg
مش قادر,مش قادر,neg
عاثو,عاثو,neg
هفففف,هف,neg
ما تلاقي,تلاقي,neg
غصة,غصه,neg
دمع,دمع,neg
زكام,زكام,neg
افقد,افقد,neg
لا ادرك,ادرك,neg
قديم,قديم,neg
قضية,قضيه,neg
ما توصل,توصل,neg
سمج,سمج,neg
لا قوة,,neg
ما شال,شال,neg
سال,سال,neg
لا عاد,,neg
#حفل_طهور_العرص,حفل طهور العرص,neg
غريب,غريب,neg
مش عارف,مش عارف,neg
لا نفع,نفع,neg
هروب,هروب,neg
#خبل,خبل,neg
#تجاهل,تجاهل,neg
مخلوع,مخلوع,neg
إشتبك,اشتبك,neg
صعب,صعب,neg
طفشانه,طفشانه,neg
ناسي,ناسي,neg
#نكب,نكب,neg
كارث,كارث,neg
#تحرر_محارم,تحر محارم,neg
كلب,كلب,neg
حارب,حارب,neg
ارحمونا,ارحمونا,neg
#جور,جور,neg
مدفعية,مدفعيه,neg
دبر,دبر,neg
لا علق,,neg
#سكس,سكس,neg
صيح,صيح,neg
ما اصعب,اصعب,neg
علق,,neg
استهداف,استهداف,neg
#انقلع,انقلع,neg
تردد,ترد,neg
ليس قطار,قطار,neg
#سخيف,سخيف,neg
#مخترق,مخترق,neg
#شين,,neg
#فقير,فقير,neg
اقسي,اقسي,neg
اتان,اتان,neg
#خايف,خايف,neg
إلتوي,التوي,neg
ضعف,ضعف,neg
بعيد,بعيد,neg
فاقد,فاقد,neg
عيب,عيب,neg
#عيب,عيب,neg
غادر,,neg
مش هيتحقق,مش هيتحق,neg
#جريح,جريح,neg
دموع,دموع,neg
ما يجيني,يجيني,neg
ياليتني,ياليتني,neg
افف,,neg
ما نصح,نصح,neg
هففف,هف,neg
#ني,ني,neg
#ارحمونا,ارحمونا,neg
ههفف,هف,neg
لا فجع,فجع,neg
#غشمرة,غشمره,neg
لا وحش,وحش,neg
اهخخ,اهخ,neg
لا تهيا,تهيا,neg
طفشان,طفشان,neg
طفشش,طفش,neg
عور,عور,neg
#اسقاط,اسقاط,neg
اعصب,اعصب,neg
لا امكن,امكن,neg
لا حب,حب,neg
لا حمد,حمد,neg
ما قدر,قدر,neg
اووف,اوف,neg
مش فاهم,مش فاهم,neg
اهلك,اهلك,neg
قذيفة,قذيفه,neg
ودع,ودع,neg
لا دري,دري,neg
غلط,غلط,neg
زكمة,زكمه,neg
بتريق,بتريق,neg
#جلط,جلط,neg
#مستعمل,مستعمل,neg
قلق,قلق,neg
حزين,حزين,neg
لا احس,احس,neg
#انحراف_تايم,انحراف تايم,neg
لا إنتهي,انتهي,neg
#ضد,,neg
اخخ,اخ,neg
#سماجة,سماجه,neg
#سادي,سادي,neg
ضعيف,ضعيف,neg
﻿#إختراق,اختراق,neg
#زهايمر,زهايمر,neg
نسي,نسي,neg
#كارث,كارث,neg
احباط,احباط,neg
#حربي,حربي,neg
مؤسف,مءسف,neg
تفو,تفو,neg
لا وجد,,neg
#ساخر,ساخر,neg
وداع,وداع,neg
ماذاكرت,ماذاكرت,neg
#خرطي,خرطي,neg
ضاع,ضاع,neg
اشتباك,اشتباك,neg
#عصب,عصب,neg
اصعب,اصعب,neg
اصابة,اصابه,neg
اخخخ,اخ,neg
بكي,بكي,neg
ليس حب,حب,neg
نتش,نتش,neg
